year,rank,title,film,singers
1985,6,Chumma Chumma Chumma,Pataal Bhairavi,Salma Agha
1985,7,Chahe Lakh Toofan Aayein,Pyar Jhukta Nahin,Lata Mangeshkar; Shabbir Kumar
1985,8,Zindagi Har Qadam Ek Nayi Jung Hai,Meri Jung,Lata Mangeshkar
1985,9,O Meri Jaan Ab Nahin Rehna Tere Bina,Manzil Manzil,Asha Bhosle; Shailendra Singh
1985,10,O Maria O Maria,Saagar,Asha Bhosle; S.P. Balasubrahmanyam
1985,11,Jee Lay Lay Jee Lay Lay,Tarzan,Bappi Lahiri; Alisha Chinai
1985,12,Sridevi Tu Nahin Par Usse Milti Julti,Sarfarosh,Kishore Kumar
1985,13,Tumhein Apna Saathi Banane Se Pehle,Pyar Jhukta Nahin,Lata Mangeshkar; Shabbir Kumar
1985,14,Zihal-E-Maskeen Makun Ba Ranjish,Ghulami,Lata Mangeshkar; Shabbir Kumar
1985,15,Mamiya Carrow Mama,Arjun,Shailendra Singh
1985,16,Dhoop Mein Nikla Na Karo,Geraftaar,Kishore Kumar; Asha Bhosle
1985,17,Ram Teri Ganga Maili Ho Gayi,Ram Teri Ganga Maili,Lata Mangeshkar; Suresh Wadkar
1985,18,Man Kyon Behka Re Behka,Utsav,Lata Mangeshkar; Asha Bhosle
1985,19,Teri Meherbaniyan,Teri Meherbaniyan,Shabbir Kumar
1985,20,Mehmaan Nazar Ki Ban Ja,Pataal Bhairavi,Kishore Kumar; Lata Mangeshkar
1985,21,Saagar Kinare Dil Ye Pukare,Saagar,Kishore Kumar; Lata Mangeshkar
1985,22,Yaar Bina Chain Kahan Re,Saheb,Bappi Lahiri; S. Janaki
1985,23,Tujhe Bulayein Ye Meri Baahein,Ram Teri Ganga Maili,Lata Mangeshkar
1985,24,Paas Aao Na Jaane Do Na,Saagar,Asha Bhosle; S.P. Balasubrahmanyam
1985,25,Hai Baba Re Baba Mar Gaye Ek Din,Manzil Manzil,Asha Bhosle
1985,26,Ai Mere Mehboob Meri Zindagi,Salma,Salma Agha; Shabbir Kumar
1985,27,Tu Wada Na Tod,Dil Tujhko Diya,Lata Mangeshkar
1985,28,Dil Beqarar Tha Dil Beqarar Hai,Teri Meherbaniyan,Anuradha Paudwal; Shabbir Kumar
1985,29,Mohabbat Se Chalti Hai Duniya,Mohabbat,Kishore Kumar
1985,30,Ek Baat Dil Mein Aayi Hai,Rahi Badal Gaye,Kishore Kumar; Lata Mangeshkar
1985,31,Dil Mein Aag Lagaye Sawan Ka Mahina,Alag Alag,Kishore Kumar
1985,32,Deewana Deewana Dil Sangeet Ka Deewana,Hoshiyar,Bappi Lahiri
1985,33,Hum Chup Hain Ki Dil Sun Rahe Hain,Faasle,Kishore Kumar; Lata Mangeshkar
1985,34,Tum Hi Se Raushan Hai Raat Meri,Lorie,Lata Mangeshkar; Talat Aziz
1985,35,Bol Baby Bol Rock N Roll,Meri Jung,Kishore Kumar; S. Janaki
1986,1,Chitthi Aayi Hai Watan Se Bahut Dinon Ke Baad,Naam,Pankaj Udhas
1986,2,Duniya Mein Kitna Gham Hai Mera Gham Kitna Kam Hai,Amrit,Mohammed Aziz
1986,3,Har Karam Apna Karenge Ae Sanam Tere Liye,Karma,Kavita Krishnamurthy
1986,4,Pyar Do Pyar Lo,Janbaaz,Manhar Udhas; Sadhana Sargam
1986,5,Main Naagin Tu Sapera,Nagina,Lata Mangeshkar
1986,6,Tujhe Bechain Itna Zyada Kiya,Nagina,Mohammed Aziz
1986,7,Sun Ruby Pyar Ho Gaya,Mard,Amitabh Bachchan; Shabbir Kumar; S. Janaki
1986,8,Gori Ka Saajan Saajan Ki Gori,Aakhree Raasta,S. Janaki; Mohammed Aziz
1986,9,Ameeron Ki Shaam Ghareebon Ke Naam,Naam,Mohammed Aziz
1986,10,Peena Haraam Hai Na Pilana Haraam Hai,Chameli Ki Shaadi,Kishore Kumar; Alka Yagnik
1986,11,Tera Saath Hai Kitna Pyara,Janbaaz,Kishore Kumar; Sapna Mukherjee
1986,12,Baharon Ki Rangeeniyon Ko Chura Kar,Naseeb Apna Apna,Shabbir Kumar
1986,13,Chitthi Aayi Hai Aayi Hai Chitthi Aayi Hai,Naam,Pankaj Udhas
1986,14,Jab Jab Teri Soorat Dekhun,Janbaaz,Sapna Mukherjee; Mahesh Gadhvi
1986,15,Ye Nadanon Ki Duniya Hai,Love And God,Mohammed Rafi
1986,16,Pyar Kiya Hai Pyar Karenge,Pyar Kiya Hai Pyar Karenge,Kavita Krishnamurthy; Shabbir Kumar
