year,rank,title,film,singers
1975,7,Dil Aisa Kisi Ne Mera Toda,Amanush,Kishore Kumar
1975,8,Shyam Teri Bansi Pukare Radha Naam,Geet Gaata Chal,Jaspal Singh; Aarti Mukherjee
1975,8,Rajnigandha Phool Tumhare,Rajnigandha,Lata Mangeshkar
1975,9,Yeh Dosti Hum Nahin Todenge,Sholay,Kishore Kumar; Manna Dey
1975,10,Prem Kahani Mein,Prem Kahani,Kishore Kumar; Lata Mangeshkar
1975,11,Hum Dono Do Premi,Ajnabee,Kishore Kumar; Lata Mangeshkar
1975,12,O Manjhi Re Apna Kinara,Khushboo,Kishore Kumar
1975,13,Kabhi Khole Na Tijori Ka Tala,Bidaai,Kishore Kumar
1975,14,Is Mod Se Jaate Hain,Aandhi,Kishore Kumar; Lata Mangeshkar
1975,15,Ye Jo Public Hai,Roti,Kishore Kumar
1975,16,Jalta Hai Jiya Mera Bheegi Bheegi,Zakhmee,Kishore Kumar; Asha Bhosle
1975,18,O Hansini Meri Hansini,Zehreela Insaan,Kishore Kumar
1975,19,My Heart Is Beating,Julie,Preeti Sagar
1975,21,Aayegi Zaroor Chitthi,Dulhan,Lata Mangeshkar
1975,22,Dil Kya Kare Jab Kisise,Julie,Kishore Kumar
1975,24,Mehbooba Mehbooba,Sholay,R.D. Burman
1975,25,Chal Sanyasi Mandir Mein,Sanyasi,Lata Mangeshkar
1975,26,Main Jat Yamla Pagla Deewana,Pratigya,Mohammed Rafi
1975,29,Ruk Ja Na O Jana,Warrant,Kishore Kumar
1975,30,Koi Haseena Jab Rooth Jaati Hai,Sholay,Kishore Kumar
1975,31,Tere Chehre Mein Woh Jadu Hai,Dharmatma,Kishore Kumar
1975,32,Sun Baal Brahmachari,Sanyasi,Mukesh; Lata Mangeshkar
1976,1,Kabhi Kabhi Mere Dil Mein,Kabhi Kabhie,Mukesh
1976,2,Ek Din Bik Jayega Mati Ke Mol,Dharam Karam,Mukesh
1976,3,Mai Toh Aarti Utaru Re Santoshi Mata Ki,Jai Santoshi Maa,Usha Mangeshkar
1976,4,Geet Gaata Chal O Saathi Gungunata Chal,Geet Gaata Chal,Jaspal Singh
1976,5,Chal Sanyasi Mandir Mein,Sanyasi,Mukesh; Lata Mangeshkar
1976,6,Mehbooba Mehbooba,Sholay,R.D. Burman
1976,7,Main Pal Do Pal Ka Shayar Hoon,Kabhi Kabhie,Mukesh
1976,8,Shyam Teri Bansi Pukare Radha Naam,Geet Gaata Chal,Aarti Mukherjee; Jaspal Singh
1976,9,Yeh Dosti Hum Nahin Todenge,Sholay,Kishore Kumar; Manna Dey
1976,10,Ye Duniya Ek Numbri To Main Dus Numbri,Dus Numbri,Mukesh
1976,11,Apne Jeevan Ki Uljhan Ko Kaise Main Suljhaun,Uljhan,Kishore Kumar
1976,12,Dil Dhundhta Hai Phir Wohi Fursat Ke Raat Din,Mausam,Lata Mangeshkar; Bhupinder Singh
1976,13,Sun Bal Brahmachari Main Hoon Kanya Kunwari,Sanyasi,Mukesh; Lata Mangeshkar
1976,14,Gori Tera Gaon Bada Pyara,Chitchor,Yesudas
1976,15,Ye Hai Geeta Ka Gyaan,Sanyasi,Lata Mangeshkar; Mukesh
1976,16,Parbat Ke Peechhe Chambe Da Gaon,Mehbooba,Kishore Kumar; Lata Mangeshkar
1976,17,Mere Naina Sawan Bhadon,Mehbooba,Lata Mangeshkar
1976,18,Chalte Chalte Mere Ye Geet Yaad Rakhna,Chalte Chalte,Kishore Kumar
1976,19,Dariya Kinare Ek Bungalow,Sabse Bada Rupaiya,Kishore Kumar; Lata Mangeshkar
1976,20,Koi Haseena Jab Rooth Jaati Hai,Sholay,Kishore Kumar
1976,21,Jaaneman Jaaneman Tere Do Nayan,Chhoti Si Baat,Yesudas; Asha Bhosle
1976,22,Jaaneman Jaaneman,Jaaneman,Kishore Kumar
1976,23,Ruk Jaana O Jaana,Warrant,Kishore Kumar
1976,24,Mujhe Dard Rehta Hai,Dus Numbri,Lata Mangeshkar; Mukesh
1976,25,Ke Aaja Teri Yaad Aayi O Baalam,Charas,Lata Mangeshkar; Mohammed Rafi
1976,26,Kal Ki Haseen Mulaqaat Ke Liye,Charas,Kishore Kumar; Lata Mangeshkar
1976,27,Tota Maina Ki Kahani To Purani Purani Ho Gayi,Fakira,Kishore Kumar; Lata Mangeshkar
1976,28,Jijaji Meri Jiji Hai Anadi,Ponga Pandit,Kishore Kumar; Asha Bhosle; Usha Mangeshkar
1976,29,Seema Seema Seema Sahne Ki Bhi Hai Koi Seema,Salaakhen,Kishore Kumar; Asha Bhosle
1976,30,Tu Kahan Gayi Thi Tera Mar Jaye Sanwariya,Dharam Karam,Lata Mangeshkar; Kishore Kumar
1976,31,Main Tumse Mohabbat Karti Hoon,Warrant,Lata Mangeshkar
1976,32,Koi Aaya Aane Bhi De Koi Gaya,Kala Sona,Asha Bhosle
1976,33,Maine Kya Ji Oye Ki Gal Hai,Jaaneman,Kishore Kumar; Lata Mangeshkar
1977,1,Husn Hazir Hai Mohabbat Ki Saza Paane Ko,Laila Majnu,Lata Mangeshkar
1977,2,Pardon Mein Rehne Do Parda Na Uthao,Amar Akbar Anthony,Mohammed Rafi
1977,3,O Meri Mehbooba,Dharam Veer,Mohammed Rafi
1977,4,Naam Gum Jayega Chehra Ye Badal Jayega,Kinara,Bhupinder Singh; Lata Mangeshkar
1977,5,Aap Ke Anurodh Pe Main Ye Geet Sunata Hoon,Anurodh,Kishore Kumar
1977,6,Jab Deep Jale Aana Jab Shaam Dhale Aana,Chitchor,Yesudas; Hemlata
1977,7,Suhani Chandni Raatein Humein Sone Nahin Deti,Mukti,Mukesh
1977,8,Tere Dar Pe Aaya Hoon,Laila Majnu,Mohammed Rafi
1977,9,Hum Banjaron Ki Baat Mat Puchho Ji,Dharam Veer,Lata Mangeshkar; Kishore Kumar
1977,10,Anhoni Ko Honi Kar De,Amar Akbar Anthony,Kishore Kumar; Shailendra Singh; Mahendra Kapoor
1977,11,Bambai Se Aaya Mera Dost,Aap Ki Khatir,Bappi Lahiri
1977,12,Is Reshmi Paijeb Ki Jhankar Ke Sadke,Laila Majnu,Lata Mangeshkar; Mohammed Rafi
1977,13,Sunke Teri Pukar Sang Chalne Ko Tere,Fakira,Kishore Kumar; Lata Mangeshkar
1977,14,Aaj Se Pehle Aaj Se Zyada,Chitchor,Yesudas
1977,15,Ek Se Badhkar Ek Main Layi Hoon Tohfe Anek,Ek Se Badhkar Ek,Runa Laila
1977,16,Gaon Mein Hote Haste Rote,Dildaar,Asha Bhosle; Kishore Kumar
1977,17,Yaar Dildar Tujhe Kaisa Chahiye,Chhaila Babu,Asha Bhosle; Kishore Kumar
1977,18,Ab Ke Na Sawan Barse,Kinara,Lata Mangeshkar
1977,19,Ae Chori Chori Chupke Chupke,Bullet,Asha Bhosle; Kishore Kumar
1977,20,Bure Kaam Ka Bura Natija,Chacha Bhatija,Mohammed Rafi; Shailendra Singh
1977,21,Chand Mera Dil Chandni Ho Tum,Hum Kisise Kum Naheen,Mohammed Rafi; Asha Bhosle; Kishore Kumar
1977,22,Aur Waqt Ki Hera Pheri Hai,Hera Pheri,Kishore Kumar; Mahendra Kapoor
1977,23,Kisi Shayar Ki Ghazal,Dream Girl,Kishore Kumar
1977,24,Koyi Mane Ya Na Mane,Kabeela,Kishore Kumar
1977,25,Bade Achhe Lagte Hain,Balika Badhu,Amit Kumar
1977,26,Hai Agar Dushman,Hum Kisise Kum Naheen,Mohammed Rafi; Asha Bhosle
1977,27,Yaadon Mein Woh Sapnon Mein Hai,Swami,Kishore Kumar
1977,28,Meri Dilruba Dilruba Mere Paas Aa,Aap Beati,Kishore Kumar; Lata Mangeshkar; Usha Mangeshkar
1977,29,Khoon Pasine Ki Jo Milegi To Khayenge,Khoon Pasina,Kishore Kumar
1977,30,Aap Sa Koi Haseen,Chandi Sona,Asha Bhosle; Kishore Kumar
1977,31,Sone Ka Chabutara Uspe Nache Mor,Hatyara,Lata Mangeshkar; Kishore Kumar
1977,32,Ameer Se Hoti Hai Aaj Mere Yaar Ki Shaadi Hai,Aadmi Sadak Ka,Mohammed Rafi
1977,33,Aate Jaate Khoobsurat Aawara Sadkon Pe,Anurodh,Kishore Kumar
1977,34,Sare Mahfil Mera Imaan Beimaan Ho Gaya,Ab Kya Hoga,Asha Bhosle; Mohammed Rafi
1977,35,Kya Hua Tera Wada Woh Kasam Woh Irada,Hum Kisise Kum Naheen,Mohammed Rafi; Sushma Shrestha
1977,36,Main Pital Ki Payal Bhi Pehnun Jo Paon Mein,Kasam Khoon Ki,Lata Mangeshkar
1977,37,Dilruba Aa Meri Baahon Mein,Yehi Hai Zindagi,Lata Mangeshkar; Kishore Kumar
1977,38,Samay Tu Dheere Dheere Chal,Karm,Kishore Kumar; Asha Bhosle
1977,39,Sun Jiniya Nahin Karunga Ab Galti,Ginny Aur Johnny,Vijeta Pandit; Kishore Kumar
1977,40,Tayyab Ali Pyar Ka Dushman,Amar Akbar Anthony,Mohammed Rafi
1977,41,Uljhan Hazar Koi Dale,Chandi Sona,Asha Bhosle; Kishore Kumar; Manna Dey
